"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","167250","","",
"Djibouti","DJI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","13010","12990","13360","13710","14010","14010","14510","14810","15010","15010","15510","16010","16810","17010","17010","17010","17010","17013","17015","17012","17013","17016","17020","17020","17020","17020","","",
"Dominica","DMA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","180","170","170","180","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","190","180","180","180","180","180","180","180","170","170","170","170","190","210","220","220","220","220","220","220","220","220","230","250","250","250","250","250","","",
"Denmark","DNK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31600","31410","30880","30680","30330","30270","30230","30170","29910","29750","29510","29560","29860","29320","29370","29330","29270","29210","29200","29050","28970","28870","28460","28550","28340","28190","27980","27870","27740","27880","27700","27560","27390","26910","27260","27160","26880","26720","26440","26470","26760","26650","26580","26460","27070","27100","26630","26680","26340","26260","26900","26240","26090","26290","","",
"Dominican Republic","DOM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21900","22050","22200","22350","22500","22650","22800","22900","23300","23350","23440","23700","24050","24250","24550","25100","25400","25650","25900","26200","26250","26300","26300","26300","26300","26370","26370","26370","26410","25460","25460","25460","25460","25460","25760","25750","25000","25100","24670","25150","25150","25150","24350","24170","24170","24170","24170","23970","23970","23970","23970","23520","23520","23520","","",
"Algeria","DZA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","454710","449000","445100","441640","441670","441670","442510","442030","442030","442160","454330","453960","443040","443360","437530","440210","438320","438430","438200","438300","391710","391070","392820","396100","390510","386880","387790","388170","387600","386760","386220","388650","388620","396400","396490","396360","396900","398260","397310","400210","401090","398550","399057","411450","412110","411810","412520","413090","413800","413740","413880","413981.9","414316.4","414310","","",
"East Asia & Pacific (excluding high income)","EAP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5695268","5728141","5763075","5798593","5840678","5880725","5922569","5962260","6009452","6061123","6099821","6157596","6220591","6299319","6353398","6271588","6346098","6411684","6453942","6504091","6562654","6665228","6776297","6882502","7037254","7123362","7214641","7289523","7363466","7435441","7464749","7468039","7469848","7510034","7521191","7524942","7639786","7647275","7677144.9","7686320","7672250","7662302","7511025.4","7544590","7543577","7522075","7549151","7570072","7594676","7604292","7616122","7626372","7635443","7632838","","",
"Early-demographic dividend","EAR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11599250","11595580","11579690","11569230","11563440","11563410","11560440","11563910","11562570","11568565","11573940","11615250","11635670","11642550","11644800","11650320","11669340","11686830","11716285","11714530","11679986","11716009.4","11727815.4","11825786.6","11924622","12004402","12128583","12191062","12275058","12367376","12376369","13062046.8","13344079","13345300","13373123","13413589.6","13439256.2","13470245.2","13505819","13527198","13548615","13547755","13598673","13696936.8","13556122","13589952","13646464.8","13643009.4","13665282","13701852.9","13721039.6","13744494.5","13750741.1","13735318","","",
"East Asia & Pacific","EAS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10573658","10628171","10690515","10752713","10834468","10885365","10952769","10973000","11058482","11138743","11190131","11262966","11350781","11436219","11483788","11414338","11395948","11442274","11522542","11597141","11658844","11708568","11749977","11873662","12024864","12090492","12182421","12268293","12288216","12332851","12345881","12378911","12320790","12440436","12391303","12412244","12496118","12518837","12447586.9","12479612","12462682","12332004","12102779.4","12142304","12189465.6","12061811.5","11994754","11932369","11875018","11778849.4","11900623.3","11867356.3","11786471.7","11880116","","",
"Europe & Central Asia (excluding high income)","ECA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","580230","582530","590200","590360","591170","593610","592450","596940","608680","603480","604580","609650","608190","604170","599430","601310","603040","603350","611820","608420","608560","594500","589860","598900","604310","607980","617970","616510","619330","617260","621530","6513562","6485816","6478650","6416566","6393858","6414845","6401689","6396637","6395287","6386032","6370748","6353750","6339448","6329796","6355330","6337425","6321358","6313645","6368149","6361743","6359536","6384240.3","6392069.2","","",
